省,省确诊,省治愈,省死亡,日期
湖北省,549,31,24,2020/1/23
广东省,53,2,0,2020/1/23
黑龙江省,4,0,1,2020/1/23
北京市,34,1,0,2020/1/23
陕西省,5,0,0,2020/1/23
四川省,15,0,0,2020/1/23
辽宁省,4,0,0,2020/1/23
贵州省,3,0,0,2020/1/23
广西壮族自治区,13,0,0,2020/1/23
浙江省,43,1,0,2020/1/23
山东省,15,0,0,2020/1/23
云南省,2,0,0,2020/1/23
海南省,8,0,0,2020/1/23
内蒙古自治区,2,0,0,2020/1/23
宁夏回族自治区,2,0,0,2020/1/23
甘肃省,2,0,0,2020/1/23
重庆市,27,0,0,2020/1/23
江苏省,9,0,0,2020/1/23
河南省,9,0,0,2020/1/23
湖南省,24,0,0,2020/1/23
山西省,1,0,0,2020/1/23
河北省,2,0,1,2020/1/23
吉林省,3,0,0,2020/1/23
江西省,7,0,0,2020/1/23
安徽省,15,0,0,2020/1/23
福建省,10,0,0,2020/1/23
湖北省,730,32,39,2020/1/24
广东省,78,2,0,2020/1/24
黑龙江省,9,0,1,2020/1/24
北京市,41,2,0,2020/1/24
陕西省,15,0,0,2020/1/24
四川省,28,0,0,2020/1/24
辽宁省,16,0,0,2020/1/24
贵州省,4,0,0,2020/1/24
广西壮族自治区,23,0,0,2020/1/24
浙江省,62,1,0,2020/1/24
山东省,27,0,0,2020/1/24
云南省,11,0,0,2020/1/24
海南省,19,0,0,2020/1/24
内蒙古自治区,2,0,0,2020/1/24
宁夏回族自治区,3,0,0,2020/1/24
甘肃省,4,0,0,2020/1/24
重庆市,57,0,0,2020/1/24
江苏省,18,1,0,2020/1/24
河南省,32,0,0,2020/1/24
湖南省,43,0,0,2020/1/24
山西省,6,0,0,2020/1/24
河北省,8,0,1,2020/1/24
吉林省,4,0,0,2020/1/24
江西省,18,0,0,2020/1/24
新疆维吾尔自治区,3,0,0,2020/1/24
安徽省,39,0,0,2020/1/24
福建省,18,0,0,2020/1/24
青海省,1,0,0,2020/1/24
湖北省,1058,42,52,2020/1/25
广东省,111,2,0,2020/1/25
黑龙江省,15,0,1,2020/1/25
北京市,63,2,0,2020/1/25
陕西省,22,0,0,2020/1/25
四川省,44,0,0,2020/1/25
辽宁省,21,0,0,2020/1/25
贵州省,5,0,0,2020/1/25
广西壮族自治区,36,0,0,2020/1/25
浙江省,104,1,0,2020/1/25
山东省,46,0,0,2020/1/25
云南省,11,0,0,2020/1/25
海南省,22,0,0,2020/1/25
内蒙古自治区,7,0,0,2020/1/25
宁夏回族自治区,4,0,0,2020/1/25
甘肃省,7,0,0,2020/1/25
天津市,14,0,0,2020/1/25
重庆市,75,0,0,2020/1/25
江苏省,33,1,0,2020/1/25
河南省,83,0,1,2020/1/25
湖南省,69,0,0,2020/1/25
山西省,9,0,0,2020/1/25
河北省,13,0,1,2020/1/25
江西省,36,0,0,2020/1/25
新疆维吾尔自治区,4,0,0,2020/1/25
安徽省,60,0,0,2020/1/25
福建省,35,0,0,2020/1/25
湖北省,1423,47,76,2020/1/26
广东省,151,2,0,2020/1/26
上海市,53,3,1,2020/1/26
黑龙江省,21,0,1,2020/1/26
北京市,72,2,0,2020/1/26
陕西省,35,0,0,2020/1/26
四川省,69,0,0,2020/1/26
辽宁省,27,0,0,2020/1/26
贵州省,7,0,0,2020/1/26
广西壮族自治区,46,0,0,2020/1/26
浙江省,128,1,0,2020/1/26
山东省,75,1,0,2020/1/26
云南省,26,0,0,2020/1/26
海南省,33,0,1,2020/1/26
内蒙古自治区,11,0,0,2020/1/26
宁夏回族自治区,7,0,0,2020/1/26
甘肃省,14,0,0,2020/1/26
天津市,22,0,0,2020/1/26
重庆市,110,0,0,2020/1/26
江苏省,47,1,0,2020/1/26
河南省,128,0,1,2020/1/26
湖南省,100,0,0,2020/1/26
山西省,13,0,0,2020/1/26
河北省,18,0,1,2020/1/26
吉林省,6,0,0,2020/1/26
江西省,48,1,0,2020/1/26
新疆维吾尔自治区,5,0,0,2020/1/26
安徽省,70,0,0,2020/1/26
福建省,56,0,0,2020/1/26
青海省,4,0,0,2020/1/26
湖北省,2714,52,100,2020/1/27
广东省,207,4,0,2020/1/27
上海市,66,4,1,2020/1/27
黑龙江省,30,0,1,2020/1/27
北京市,91,2,1,2020/1/27
